2014-03-09,2428
2014-03-10,3896
2014-03-11,5375
2014-03-12,3332
2014-03-13,2501
2014-03-14,3594
2014-03-15,3453
2014-03-16,2041
2014-03-17,2918
2014-03-18,3829
2014-03-19,3124
2014-03-20,4331
2014-03-21,4658
2014-03-22,3529
2014-03-23,2267
2014-03-24,3148
2014-03-25,3795
2014-03-26,3539
2014-03-27,4017
2014-03-28,4311
2014-03-29,1000
2014-03-30,1661
2014-03-31,3889
2014-04-01,5401
2014-04-02,5283
2014-04-03,5733
2014-04-04,3021
2014-04-05,3598
2014-04-06,3707
2014-04-07,3306
2014-04-08,4966
2014-04-09,5972
2014-04-10,6031
2014-04-11,5826
2014-04-12,4695
2014-04-13,4413
2014-04-14,5868
2014-04-15,2449
2014-04-16,4644
2014-04-17,5096
2014-04-18,4588
2014-04-19,4008
2014-04-20,3290
2014-04-21,5817
2014-04-22,6028
2014-04-23,6089
2014-04-24,6316
2014-04-25,6136
2014-04-26,3790
2014-04-27,4161
2014-04-28,6451
2014-04-29,4501
2014-04-30,739
2014-05-01,6156
2014-05-02,6856
2014-05-03,4515
2014-05-04,3970
2014-05-05,6555
2014-05-06,7144
2014-05-07,6972
2014-05-08,3837
2014-05-09,4951
2014-05-10,3943
2014-05-11,4781
2014-05-12,6665
2014-05-13,7071
2014-05-14,6543
2014-05-15,5711
2014-05-16,4020
2014-05-17,5021
2014-05-18,4585
2014-05-19,6814
2014-05-20,7588
2014-05-21,7469
2014-05-22,5532
2014-05-23,5295
2014-05-24,2882
2014-05-25,3673
2014-05-26,4074
2014-05-27,6993
2014-05-28,6638
2014-05-29,7224
2014-05-30,7366
2014-05-31,4870
2014-06-01,5302
2014-06-02,7221
2014-06-03,6607
2014-06-04,7597
2014-06-05,5093
2014-06-06,7694
2014-06-07,5109
2014-06-08,4927
2014-06-09,4300
2014-06-10,7498
2014-06-11,6674
2014-06-12,6354
2014-06-13,4052
2014-06-14,4761
2014-06-15,4785
2014-06-16,7328
2014-06-17,7617
2014-06-18,7550
2014-06-19,6990
2014-06-20,7068
2014-06-21,5139
2014-06-22,4983
2014-06-23,6997
2014-06-24,7913
2014-06-25,7397
2014-06-26,7596
2014-06-27,7316
2014-06-28,4739
2014-06-29,4804
2014-06-30,7240
2014-07-01,7838
2014-07-02,5925
2014-07-03,5926
2014-07-04,2499
2014-07-05,3416
2014-07-06,3705
2014-07-07,6390
2014-07-08,6864
2014-07-09,7121
2014-07-10,7510
2014-07-11,7111
2014-07-12,4699
2014-07-13,4320
2014-07-14,5376
2014-07-15,5178
2014-07-16,7516
2014-07-17,8090
2014-07-18,7214
2014-07-19,4633
2014-07-20,4819
2014-07-21,7143
2014-07-22,7880
2014-07-23,7369
2014-07-24,7867
2014-07-25,7322
2014-07-26,4347
2014-07-27,4514
2014-07-28,6941
2014-07-29,7738
2014-07-30,7942
2014-07-31,7640
2014-08-01,6778
2014-08-02,4323
2014-08-03,4290
2014-08-04,7017
2014-08-05,7306
2014-08-06,7648
2014-08-07,7646
2014-08-08,7079
2014-08-09,4515
2014-08-10,4327
2014-08-11,6693
2014-08-12,5886
2014-08-13,6030
2014-08-14,7282
2014-08-15,6475
2014-08-16,4659
2014-08-17,4315
2014-08-18,6857
2014-08-19,7412
2014-08-20,7248
2014-08-21,6934
2014-08-22,6401
2014-08-23,4629
2014-08-24,4334
2014-08-25,6936
2014-08-26,7327
2014-08-27,7211
2014-08-28,7160
2014-08-29,6315
2014-08-30,3487
2014-08-31,2690
2014-09-01,3724
2014-09-02,6446
2014-09-03,7723
2014-09-04,7711
2014-09-05,7227
2014-09-06,4560
2014-09-07,4933
2014-09-08,7148
2014-09-09,7597
2014-09-10,8112
2014-09-11,8125
2014-09-12,8016
2014-09-13,3431
2014-09-14,4929
2014-09-15,7526
2014-09-16,5575
2014-09-17,8023
2014-09-18,7915
2014-09-19,7468
2014-09-20,5380
2014-09-21,4693
2014-09-22,7409
2014-09-23,7844
2014-09-24,7671
2014-09-25,3840
2014-09-26,7545
2014-09-27,5342
2014-09-28,5000
2014-09-29,7312
2014-09-30,7545
2014-10-01,6180
2014-10-02,7652
2014-10-03,7053
2014-10-04,2719
2014-10-05,4302
2014-10-06,6929
2014-10-07,7252
2014-10-08,7274
2014-10-09,7062
2014-10-10,6658
2014-10-11,2618
2014-10-12,4087
2014-10-13,4842
2014-10-14,7096
2014-10-15,6267
2014-10-16,6074
2014-10-17,7264
2014-10-18,4525
2014-10-19,3631
2014-10-20,6292
2014-10-21,7108
2014-10-22,2126
2014-10-23,3309
2014-10-24,6751
